微博,80
正文,1
“,69
宇宙,1
的,738
无理性,1
偶然,1
，,1517
呈现,1
在,146
你,165
触动,1
夏天,1
指尖,1
。,683
”,69
清迈,19
时候,36
骑,4
自行车,3
去,49
乡间,1
咖啡馆,4
时,24
总是,7
单曲,1
循环,1
这,46
一首歌,1
每次,9
听见,3
它,12
就,88
像是,5
回到,4
了,319
 ,1776
分享,8
谭,1
维维,1
/,3
声音,4
玩具,1
歌曲,1
《,1
明天,4
依旧,4
我,453
身旁,2
(,3
...,1
》,1
Live,1
),1
自,2
现在,22
不,105
付钱,1
看不到,1
粉丝,17
性别,1
构成,2
我前,1
几年,2
看,49
记得,7
是,279
男女,2
6,6
比,16
4,10
来,32
着,22
对于,6
产品,79
经理,27
来说,5
这个,48
比例,6
很,65
正常,7
但,90
奇怪的是,1
做,52
所有,5
都,106
女性,5
用户,31
多于,1
男性,7
：,46
蝉,7
游记,8
氢气球,6
生辰,2
猫,5
饼,4
一罐,17
这样,14
也,117
纳闷,2
咋,1
就是,37
妇女,1
之友,1
呢,46
？,133
没有,36
刻意,6
女,9
投放,1
啊,33
以前,11
融资,1
有个,5
投资人,4
没聊,1
几分钟,1
劈头,1
问,16
是不是,14
更,21
受,3
欢迎,1
说,87
怎么,12
出来,19
他,68
微微一笑,1
起身,1
赶,1
飞机,7
后来,21
没,41
投,3
所以,17
至今,1
好奇,3
总之,2
只要,6
打,17
上,40
烙印,1
会,52
女生,3
喜欢,13
并,20
背后,1
落魄,1
中年男子,2
从,23
下线,1
后,24
爸比,1
光环,1
走,6
马路上,1
没人会,1
多,33
一眼,4
 ,143
微博新,1
小视频,2
这套,2
系统,5
图,5
啥,8
想,33
最,22
明显,3
收益,5
可以,26
把,28
自己,66
抖音,4
快手,1
创作,2
搬运,1
到,50
微博来,1
…,66
一鸡,1
吃,9
几天,2
看到,5
很多,19
带,9
水印,1
的确,6
比微博,1
原生,1
视频,20
娱乐性,1
强多,1
老,6
有人,17
抱怨,3
算法,4
分发,13
全世界,2
百万,3
日活,2
以上,3
feed,3
流,2
还有,14
不用,1
序,2
印象,3
里,29
tw,1
fb,1
ins,4
全是,5
觉得,39
老外,1
骂,4
吗,32
他们,24
知道,28
小白,5
理解,3
不了,8
反,3
直觉,1
机制,18
你们,18
想想,4
为什么,8
这么,23
干,4
职业,5
专门,2
人类,7
泰国,10
中国,2
航班,2
全部,6
停,2
据说,2
10,10
月,13
才,22
有,110
可能,29
恢复,1
刚,5
实行,1
宵禁,1
天知道,2
接下来,4
变成,5
什么样,1
有点,4
后怕,1
2,20
周前,1
如果,34
不是,31
果断,1
回国,4
得,27
待,4
年底,1
而且,8
餐馆,7
马杀鸡,4
店全,1
关门,3
闷,1
闷死,1
相比之下,1
机票,8
隔离,23
6000,2
元,12
简直,4
不算,1
