微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IBLn4r0oS,最近这个卖房子的电话，真是有点疯狂，买4送2都出来了。。那其实还是降价了，但是市场上钱袋子这么紧，除了年轻人以外，老同志哪有钱呢。我觉得当务之急应该降低首付，给年轻人上车的机会，给我们老同志打电话，价值不大了。。  ,无,无,无,2020/4/4 14:57,搜狗高速浏览器,193,35,83
IBFdYhOZ7,这个本子呢？有人用过吗？谢谢  原图 ,http://wx1.sinaimg.cn/large/593af2a7gy1gdgzm5fvwlj20u01sy10e.jpg,无,无,2020/4/3 23:18,iPhone 11 Pro Max,56,2,85
IBFaOFnf6,小米这款笔记本有人用过吗？进来给点评论，谢谢  原图 ,http://wx1.sinaimg.cn/large/593af2a7gy1gdgzdxpdtsj20u01syqb0.jpg,无,无,2020/4/3 23:10,iPhone 11 Pro Max,25,0,49
IBCYrbd5G,惨案，因为微博的鉴huang能力，我只能把朋友圈的背景改成现在这个样子了  原图 ,http://wx3.sinaimg.cn/large/593af2a7ly1gdgpnxa9isj20u01sy49g.jpg,无,无,2020/4/3 17:34,iPhone 11 Pro Max,83,4,29
IBCHdwvfC,最近我的朋友圈都是发年轻人的简历了，男的女的都有，助理天天忙，状态也好，也精神  原图 ,http://wx4.sinaimg.cn/large/593af2a7ly1gdgpd11e88j20u01getfd.jpg,无,无,2020/4/3 16:52,iPhone 11 Pro Max,22,1,12
IBCwgwsX4,阿里巴巴  AE技术部；本地生活服务部；天猫国际研发部；阿里云BU消息中间件团队；天猫技术部；阿里云数据智能团队；招聘杭州北京上海人才。南瑞 在南京招聘大量java方面的人才。字节跳动，企业应用部门，国际化广告团队召人，北京，湾区都有岗位。租房补贴都有1500一个月。。另有Akulaku，深信服等深圳大厂召linux平台下开发人才。 考虑到一些隐私保护的需要，这些用人单位的联系方式，我就没写了，流浪在江湖上的牛人们，可以把简历发给我，我转交给他们，或者联系助理索要他们的详细招聘要求和邮箱，直接投递也都是阔以的。 助理邮箱 cl_workmail@163.com                                 ,无,无,无,2020/4/3 16:25,搜狗高速浏览器,42,9,22
IBCngiEQA,阿里巴巴真要买进。。。自从我这边大力搞人才服务以后，阿里巴巴的朋友都激活了，给我发来了大量他们组需要人的消息。 阿里巴巴真牛，前一段170多就全出了，真不应该  ,无,无,无,2020/4/3 16:03,搜狗高速浏览器,110,21,37
IBAvXdqW5,我觉得教育这个方向能解决大量就业，中产家庭也肯花钱。是个不错的方向啊。特别是12岁以下的教育，家长最头疼，12岁以上孩子基本就自己折腾了，家长的辅导压力也小很多，毕竟也辅导不了了   ,无,无,无,2020/4/3 11:19,搜狗高速浏览器,66,12,33
IBAbddeAL,"今天上班,真怕大楼里面检查,发现我有去过北京的""污点""就惨了... 结果和以往一样没检查就让我进大楼继续上班了。进入小区也就是测量个体温。 一切都恢复正常了，真好啊，昨天晚上又有两个新的创意，现在想法太多，需要人执行，人手不足啊  ",无,无,无,2020/4/3 10:27,搜狗高速浏览器,37,4,20
IBuWNkl6F,我从来没碰过瑞幸咖啡，因为看不懂，没有护城河，靠烧钱是不行的，要有核心竞争力  原图 ,http://wx3.sinaimg.cn/large/593af2a7ly1gdfq80egbhj20u01syk2u.jpg,无,无,2020/4/2 21:08,iPhone 11 Pro Max,76,7,25
IBuyw7UZ7,昨天晚上又对孩子发火了，扬言读不好课文就揍他。开始还能有感情的读（虽然错），每次读错重读，每次吼他，越读越好，也越来越没有感情。最后总算读对一次，提交了语音作业。事后，我找了他谈谈，我说爸爸不好，这样会让你失去学习的兴趣的。结果孩子说，“爸爸，其实我早就对学习没兴趣了”。  ,无,无,无,2020/4/2 20:08,iPhone 11 Pro Max,270,45,126
IBtYN7TRC,整个车厢就我一个人 北京·北京南站  显示地图 原图 ,http://wx3.sinaimg.cn/large/593af2a7ly1gdflz0uopdj20u0140aj3.jpg,无,无,2020/4/2 18:40,iPhone 11 Pro Max,125,3,73
IBtRbdyVw,顺利完成南京出差北京的任务，当天去回。滴滴车，出租车都方便，没人抓，进大楼要扫码，不是本地14天，有一座大楼不让进，其他都可以进。地铁，路上，火车站人都不多。 北京·北京南站  显示地图 [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/593af2a7ly1gdfldhzgjij20k00zkjw6.jpg,http://ww3.sinaimg.cn/large/593af2a7ly1gdflkz3miqj21400u07gt.jpg",无,北京·北京南站,2020/4/2 18:22,iPhone 11 Pro Max,95,8,32
