微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IBIOd4VJY,“宇宙的无理性偶然，呈现在你触动夏天的指尖。”在清迈的时候骑自行车去乡间咖啡馆时，总是单曲循环这一首歌，每次听见它就像是回到了清迈。 分享  谭维维/声音玩具 的歌曲《明天你依旧在我身旁 (...》明天你依旧在我身旁 (Live) (分享自@虾米音乐) 明天你依旧在我身旁 (Live)  ,无,无,无,2020/4/4 8:25,iPhone客户端,41,2,7
IBEthkuWS,现在微博不付钱看不到粉丝的性别构成了，我前几年看的时候，记得是男女 6 比 4 来着。对于产品经理来说，这个比例很正常。但奇怪的是，我做的所有产品都是女性用户多于男性用户：蝉游记，氢气球，生辰，猫饼，一罐，都这样。我也纳闷，我咋就是妇女之友呢？我也没有刻意做女用户投放啊。以前融资的时候，有个投资人没聊几分钟，劈头就问我，你是不是做的所有产品都更受女性欢迎？我说是啊，你怎么看出来的。他微微一笑，起身赶飞机去了。后来他没投我，所以我至今都很好奇他是怎么看出来的。总之，只要是打上我的烙印的产品，它就会更受女生喜欢。但女生并不喜欢产品背后的我，落魄中年男子，从微博下线后，没了 “产品爸比” 的光环，走在马路上没人会多看一眼。                                 ,无,无,无,2020/4/3 21:23,微博 weibo.com,348,11,45
IBEocC9NW,微博新上了 “小视频” 这套系统是图啥呢？我想了想，最明显的收益就是用户可以把自己在抖音，快手的创作也搬运到微博来……一鸡多吃。这几天看到的小视频很多都带抖音水印，但的确比微博原生的视频创作娱乐性强多了。  ,无,无,无,2020/4/3 21:10,微博 weibo.com,12,1,3
IBDNq17vD,老有人抱怨微博的算法分发，但现在全世界百万日活以上的 feed 流产品，还有没有不用算法序的呢？我印象里是没有的。tw，fb，ins，全是算法序。你觉得老外不骂吗？不，他们也骂。我知道产品小白理解不了这个反直觉的产品机制，你们就想想，为什么全世界的产品经理都这么干？是不是这个职业专门反人类？  ,无,无,无,2020/4/3 19:40,微博 weibo.com,168,38,46
IBDHtyVXl,泰国到中国的航班全部停了，据说 10 月才有可能恢复。刚看到泰国实行了宵禁，天知道接下来会变成什么样。想想有点后怕，2 周前如果不是果断回国，我就得在泰国待到年底了，而且餐馆马杀鸡店全关门，闷也闷死了。相比之下，机票隔离多出来的 6000 元简直不算事儿。但家人还在那边生活，唉……  ,无,无,无,2020/4/3 19:25,微博 weibo.com,56,4,16
IBDuC0t4m,玩了一周动森，发现我玩动森是废柴型的，一点进取心都没有。每天打开看看有什么新变化，新收集品，懒懒散散收集 20 分钟资源，慢吞吞地完成任务。一天平均玩两个 20 分钟就好，一点都不肝。因为缺里数，甚至一次都没出过岛，也不想刷任务攒里数，只拿每天的 300 点登录奖励。总之很非主流。  ,无,无,无,2020/4/3 18:53,微博 weibo.com,75,2,29
IBDtjDtBY,朋友在大公司，一季度考核时吃了很大的亏，超额完成业绩但还是被扣光奖金，理由莫名其妙。我是这么安慰他的。大公司是必然要讲对上管理，讲公司政治的。每个人都吃过考核的亏，然后出现了三个分支。一是努力适应公司政治，一步步爬上去。二是牺牲很大也要奔向自由发挥的环境，比如说创业。三是试着适应公司政治，但适应有限，又没有 “牺牲很大” 的决心，最后躺平……一这种情况是满少见的，适应公司政治也是天赋。二这种情况也满少见的，我这么干了（我的个性太强了），最后损失巨大。如果 2012 -2020，我一直留在大公司，以我的履历和能力，至少多收入 2000 万吧。单单是离开携程的直接股权损失就是大几百万。不谦虚地说，我在创业公司拿的薪水是大公司的 10%。你们应该想象不到我这个 level 在大公司能拿多高薪水。三这种情况是最常见的……那怎么办呢？还是看你在大公司的目标是什么。我跟朋友说，如果去年你加入这家公司的时候，当时就明说，薪酬呢是 xx-yy 之间的一份浮动值，而且你的核心诉求是可以满足的，你能接受吗？你可以的，你一定可以接受的。然后这个浮动值，相当于你这次被扣的季度奖金数量。这时你回头一看，第一你的核心诉求还是满足的，第二你的基本月薪也是满足的，那么这份损失就完全是可以接受的。你现在不开心，只是受到了不公正的对待，因此情绪很大。你有情绪很正常，很正常，情绪带来的负面损失其实比那点奖金还多。那怎么办呢？我一直不喜欢 “躺平” 的人生态度。你要不然多想想加入这家公司时的核心诉求，只要这个诉求能满足，别的真的没那么重要。把注意力 focus 在最重要的事情上面。——我劝说别人的时候，其实是满在行的。但我自己情绪化的时候，谁都劝不了我，除非我自己克隆一个自己，用我的那套逻辑来说服自己，是会有效果的。克隆技术什么时候能发展到这一步呢？                                 ,无,无,无,2020/4/3 18:50,微博 weibo.com,249,113,51
IBBUGw61e,经常看见杠精跑到别人微博下面说：如果对方是一个壮汉又很能打，你还敢这样吗？有时候也看见杠精跑到壮汉微博下面说：你也就是一个莽夫，你有钱有事业吗？如果，我是说如果有一个有钱有事业的壮汉还很能打，杠精可能会说：我觉得你长得丑唉。如果这个人恰好长得很帅，杠精可能会说：你是不是性无能？如果这个人立刻二话不说，掰开杠精插了半小时屁眼，杠精可能会呻吟着说：你仔细想想，你儿子到底是不是你的种？而且我觉得这种逻辑很无聊哎。来来来，我问你，这位杠精本精，如果我是你老板，而这里是微信朋友圈，你还敢这样跟我评论吗？你捋一下这个逻辑。                                 ,无,无,无,2020/4/3 14:52,微博 weibo.com,237,33,13
IBBFlnWbX,最近连着被人问了好几次，你自己最满意的作品是哪一款？回答：全是垃圾。不不不，我不是自黑，我是真的不满意，回顾的时候觉得破绽百出。别人追问，你是对设计不满意，还是对结果不满意？回答：主要是设计不满意，觉得当时从市场逻辑到产品逻辑，从架构到主干都有很多设计缺陷，后面打补丁越打越多，越来越丑。这说明什么呢？说明我现在比过去更强，能做出比过去更好的产品（但没地方做产品了）。我是那种，越打越能打的类型。特别擅长总结反省改进，很骄傲但一点都不自满，每次觉得自己有成长就特别高兴。不要脸地说，因为选择赛道错误以及研发资源不足，我做产品的实力，应该是超出大家对我的了解的。尤其是，如果我能控制住自己的情绪化（小孩脾气），更沉稳地去做产品，我的技术之好，效率之高，可能是令同行惊叹的。我现在没有代表作，过去的作品破绽百出，我对这些失败作品也没有任何感情。未来不知道，希望自己还能有满意的代表作吧。毕竟我也是想做产品到 60 岁的人呐。但未来真心不知道，摆在面前最显眼的一条路就是 “退休” 。集中隔离第 12 天，实在太闷了忍不住就刷屏了，对不起！                                 ,无,无,无,2020/4/3 14:14,微博 weibo.com,128,16,53
IBBobB6zL,记得是 2018 年，网易老同事问我创业目标是什么，我说是“产品经理怎么可能舍弃改变世界的梦想呢？”她说切，我早就不信这些了，我就想多赚一点钱，有钱才有安全感。后来我他妈的果然创业失败了。还是连续失败。再也不想创业了。大约前天还是昨天，有人算命……没错，是算命说我是一个 “艺术家型的产品经理”，我内心觉得他说得对，但又不好意思大声附和。但我做的每一款产品的确都很独特嘛，2013 年的蝉游记，2014 年的生辰，2015 年的氢气球旅行，2018 年的一罐。刚才有人问，那你作为产品经理现在的目标是什么呢？我说，我还是想做一款有自己基因的，独特甚至是开创性的，有可能在互联网发展史上留下印记的产品，仅此而已。至于自己发财，公司上市，我一点都不感兴趣，收入能满足旅行就行，而且旅行时住 300 元的酒店就好。可能要带着这个梦想衰老并且死去了。                                 ,无,无,无,2020/4/3 13:32,微博 weibo.com,175,26,53
