微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Ix1xJry8A,#“回归”的爸爸#  老爸明年七十岁了，退休后专注美术字，这是他的最新创作。我原来总是遗憾没有很好的原生家庭，形成敏感脆弱的性格。接触心理咨询，渐渐性格有了变化，从去年开始，已经能反哺两个老人：教他们彼此理解、沟通，互相给出欣赏。从来不道歉的老人表现出悔意和行动——七十岁开始学相爱，这是多么了不起的改变啊！爸爸对我越来越依赖，过去从来不联系，现在跟我每天微信上探讨书法、园艺，越来越地，我们开始像最普通的父女一样相处了。越来越地，我也发现爸爸的确给了我很多财富，比如对书法的关注和爱，比如永远追求艺术和美、永远不害怕改变自己、永远学习向上，“Stay hungry，Stay foolish”。是的，改变什么时候都不晚，哪怕到了七十岁。 学潼-自然书写的微博视频                                 ,无,无,无,2020-03-04 10:56,iPhone 8 Plus,11,2,7
IBFw7tLIE,道可道，非常道。  原图 ,http://wx2.sinaimg.cn/large/57594dcegy1gdh0wgpu5zj20mi0u0qlp.jpg,无,无,2020-04-04 00:03,无,1,0,0
IBgGejX88,春天不是读书天！一看书就睡觉的狗子，还打呼…… 学潼-自然书写的微博视频  ,无,"http://f.video.weibocdn.com/002TqG98gx07C9hokni701041200ebNB0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1585990089&ssig=S6NxMlrRef&KID=unistore,video",无,2020-04-01 08:49,无,1,0,0
IBaaR57Wn,曾奇峰之所以没有武志红名气大，就是文笔太一般。我猜，曾奇峰的快乐排序大约是这样的：写文章<演讲<饭局<治疗。他写文章时产生不了心流，读者就读不出心流，这跟武志红恰恰相反。读武志红的书太爽了，你能感觉到字里行间喷涌的快乐。这种快乐，在曾奇峰的书里偶有惊鸿一瞥的显现，就是对患者恰当使用精神分析时。那才是“曾奇峰时刻”。                  原图                             ,http://wx3.sinaimg.cn/large/57594dcegy1gdd62veuqdj22vf1i2u0x.jpg,无,无,2020-03-31 16:15,iPhone 8 Plus,2,1,0
IB9nBadYm,小时候特别爱翻我爸的植物书，里面的花北方很少见到，觉得新鲜又美，印象最深的是就是图一的扶桑，又叫木槿。来到南方以后，发现美何止于那么薄薄一本书，各种花美得辽阔无边，美得无法无天。最震撼我的是高大的开花的树，玉兰，紫荆，木棉，黄花铃木，凤凰木，最后一张炮仗花，凑数的。这都是以前拍的。那时每天行走在各种美里，简直忘乎所以。适应了几年，很少拍了。这个改变有点像“旅行团”乐队说的：我们不是来改变世界的，我们就是世界！对的，我不是来欣赏美的，我就是美（……的一小部分）！#美景#             [组图共9张]      原图                             ,"http://ww4.sinaimg.cn/large/57594dcegy1gdd2yb081cj20yi0zgdrf.jpg,http://ww2.sinaimg.cn/large/57594dcegy1gdd2ybmvi1j20qo0zknf7.jpg,http://ww4.sinaimg.cn/large/57594dcegy1gdd2yc7taaj20qo0zkaw4.jpg,http://ww2.sinaimg.cn/large/57594dcegy1gdd2ycntu1j20qo0zkqcn.jpg,http://ww1.sinaimg.cn/large/57594dcegy1gdd2yd6ttjj20qo0zk1bb.jpg,http://ww2.sinaimg.cn/large/57594dcegy1gdd2ye70zuj20u0140193.jpg,http://ww1.sinaimg.cn/large/57594dcegy1gdd2yfm1waj22c03407wh.jpg,http://ww1.sinaimg.cn/large/57594dcegy1gdd2ydozjej20zk0qutnv.jpg,http://ww4.sinaimg.cn/large/57594dcegy1gdd2ya0cguj23402c0kjo.jpg",无,无,2020-03-31 14:14,iPhone 8 Plus,1,0,0
IB7wLhR37,春夜喜雨……  [组图共6张] 原图 ,"http://ww2.sinaimg.cn/large/57594dcegy1gdcuul8za8j22c03407wj.jpg,http://ww2.sinaimg.cn/large/57594dcegy1gdcuun17h4j22c0340x6r.jpg,http://ww2.sinaimg.cn/large/57594dcegy1gdcuuooh58j22c03407wj.jpg,http://ww4.sinaimg.cn/large/57594dcegy1gdcuuqmjalj22c0340b2a.jpg,http://ww4.sinaimg.cn/large/57594dcegy1gdcuus6ujzj22c0340b2b.jpg,http://ww4.sinaimg.cn/large/57594dcegy1gdcuuv3y8qj22c0340x6s.jpg",无,无,2020-03-31 09:31,iPhone 8 Plus,1,0,0
IB2wAlDbG,换了形式，不由得安静许多。  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/57594dcegy1gdc8qdyauuj22c0340kjm.jpg,http://ww1.sinaimg.cn/large/57594dcegy1gdc8qexb47j22c0340kjm.jpg,http://ww2.sinaimg.cn/large/57594dcegy1gdc8qgb2iuj22c03404qr.jpg",无,无,2020-03-30 20:47,iPhone 8 Plus,3,0,0
IAHXlxmq2,挫其锐，解其纷，和其光，同其尘。湛兮，似或存。——老子《道德经》  [组图共6张] 原图 ,"http://ww4.sinaimg.cn/large/57594dcegy1gd9pw5azlbj22c0340hdv.jpg,http://ww1.sinaimg.cn/large/57594dcegy1gd9pw7wby8j22c03404qs.jpg,http://ww3.sinaimg.cn/large/57594dcegy1gd9pw9552wj22c0340u0y.jpg,http://ww1.sinaimg.cn/large/57594dcegy1gd9pwakuohj22c0340npf.jpg,http://ww2.sinaimg.cn/large/57594dcegy1gd9pwc7uwzj22c0340e84.jpg,http://ww3.sinaimg.cn/large/57594dcegy1gd9pwedqrej22c03407wk.jpg",无,无,2020-03-28 16:25,iPhone 8 Plus,2,0,0
IAzj81sFF,孩子眼睛里的世界……无法想象一个十一岁孩子的感受力和表现力。因此，我们应该千方百计保护那个世界，让天然的美自由自在地、毫无负担地绽放。因此，要不遗余力地把创伤中止于自身，把苦痛隔绝于那个世界之外。  [组图共3张] 原图 ,"http://ww2.sinaimg.cn/large/57594dcegy1gd8ni6r50vj20xp0spq96.jpg,http://ww3.sinaimg.cn/large/57594dcegy1gd8ni7l5nhj21400u0wlp.jpg,http://ww1.sinaimg.cn/large/57594dcegy1gd8nrj2sjnj20mi0u01gf.jpg",无,无,2020-03-27 18:24,iPhone 8 Plus,2,1,0
IAw5beAzQ,#害怕蔑视有多可怕？#  因为恐惧被蔑视而疏远他人，并且对他人产生敌意，这样的情况非常常见。被“害怕蔑视”困扰的人，完全丧失了自己的生活能力：他们对他人不敢抱有任何期望，更不敢设定一个标杆来衡量他人；如果他们在某些方面不如别人，就会不敢接近那些比他们强的人；他们即便有自己的见解，也不敢发表意见；就算他们拥有很强的创造能力，他们也不敢付诸实践；他们不敢寻求更好的职位，不敢感动别人，不敢富有魅力……由于惧怕他人的嘲讽，即便他们偶尔进行了这些方面的尝试，也只是力求稳妥和默默无闻，仿佛这就是他们的避难所。（卡伦·霍妮《我们内心的冲突》）                  原图                             ,http://wx1.sinaimg.cn/large/57594dcegy1gd89in8jqaj20u00sg1ik.jpg,无,无,2020-03-27 10:11,iPhone 8 Plus,1,0,0
