微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IBNmxrXWg,同性恋这事儿吧，其实我也是有思考变化的。抛开特别懵懵懂懂的时期不谈，最早我对同性恋者的观点是，接受同性恋观念可以让我成为一个 “更好的人”，我觉得我没法和同性恋者感同身受，我们之间有区别，但我愿意接受世界的多样化，尊重所有人的取向。在这个过程中，有尊重，但没有共情，追求的也是 “我要成为更好的人”。后来我认识了一些朋友，也经历了一些事情，大概在某一个时间段，我开始觉得在更大的层面上来说，我们没有什么不同，他们的情感和我的情感没有任何区别，我觉得我能或多或少地 ”理解“ 他们了。再之后，某个时间段开始，我开始直观意识到我们每个人都有 “和群体不同” 的地方，每个人都被规训和限制（当然有好有坏，道德嘛）。在某种意义上来说他们就是我们，也许我们每个人都有义务和被敌视的人站在一起，我们没有任何区别，而支持他们就等于帮助自己，他们好也会带来我们好。差不多就是这三个阶段吧，也许以后会有其他阶段，也说不定呢。                                 ,无,无,无,2020/4/4 20:01,微博 weibo.com,3071,135,210
IBMM9n1AL,按理说，现代社会了，不讲出身，大体上人人平等。一般来说不会有什么 “配不配” 的事情。但是对于那些说为什么STEAM不停服的人；对于威胁要举报的人；对于伪装成中二说要举报，甚至可能真的举报，完全不知后果的人。我真心觉得你们就不配玩游戏。  ,无,无,无,2020/4/4 18:31,无,2107,188,204
IBK8lhbEi,发现BOSE出了无线环绕音箱，我想问问，这玩意儿能适配第一代还是第二代的BOSE Lifestyle 135回音壁吗...？  ,无,无,无,2020/4/4 11:48,无,25,1,7
IBJWD0cSK,2003年左右，我装修。我想要满屋布满电线和网线，但开槽价格非常昂贵，我忘记多少钱了，大概是20一米？还是多少来着？反正很贵。我只能精打细算，放弃了许多精妙设计。想想也是，在墙上挖出线槽，得费劲砸，几十块贵吗？不贵。但之后用下来就觉得插座还是少了，不美。留下了遗憾。后来有一天我看淘宝，发现出现了一种叫 “开槽机” 的神奇工具。看起来操作简单方便。从那时到现在大概又过了十年了，我想知道，现在开槽的价格因为新工具的出现而降低了吗？                                 ,无,无,无,2020/4/4 11:19,无,292,10,54
IBIWQetb3,我从头就不喜欢 “特稿” 和 “非虚构写作” 这个叫法。我也不知道为什么，我也不喜欢 “大稿” 这个说法。我觉得这些词都太华丽了。媒体报导和小说当然不一样，我两个都喜欢。但仔细想想，我其实不能确定什么是好小说，我也不知道怎么写出它们。但我觉得自己知道什么是好的报导——好的报道的功夫不在文笔上，而在许多费力的琐碎事情上，要找到信息，要去跑，跟人聊，再跟人聊，去跟好多人聊。又或者自己报道一件事，了解全部细节，知道最细微的东西。在整个过程中，文笔并不重要，不仅如此，我还觉得强调文笔重要会有点儿危险——用好文笔掩盖那些自己不知道的、拿不准的、道听途说的信息太容易了。用洋洋自得的口吻评价、暗示和议论一个虚幻的影子也很容易。所以我不喜欢 “非虚构写作”，也许是因为它过于强调 “写作” ，不是这个名字的问题，但就我所见，热衷于用这个名字的，好像都觉得“写”是最重要的环节。但我觉得至少在报导中不是这样的。我觉得，只要你问了10个人，一件事，那你用什么技巧都是锦上添花。你不用技巧，把事儿写出来就很好。只有一件事问了2个人的时候才需要雪中送炭式的技巧。                                 ,无,无,无,2020/4/4 8:47,无,194,22,20
IBEUbq4TI,认真地推荐一次这个视频  #手机里的武汉新年#  我想你们可能都注意到了，这个视频里的所有素材都出自快手用户。我大概数了一下，素材量超过100条，包罗万象，时间上基本涵盖抗疫的整个过程，范围基本涵盖了武汉的芸芸众生。然后，再强调一下，所有的素材都来自于快手。 这种事儿我之前也做过，当然，糙了无数倍，但我想我们选择快手作为素材来源的理由是一致的，首先快手上的素材多，其次快手上的素材足够真实。这两者同样重要。我真诚地说，我认为，除了快手，很难有其他的平台可以提供这样大量真实、朴素的影像了。这也是我始终喜欢快手的原因。无数个小个体积极地记录和表达自己，不为名不为利，所追求的只是记录和表达本身的乐趣——你问他们为什么拍这些，他们可能都得先想半天。但这种朴素和真实在当前实在太宝贵了。 我想，当前情况特殊。作为学生身份，非专业拍摄者，团队想要真正实地拍摄难度颇高，而且说真的，就算是真正实地拍摄，也无法做到涵盖如此全面，更何况那些人在专业镜头面前可能就没法这么自然，也就没法这样鲜活。所以，这个点子很棒。但是更棒的始终是这些普通人——我在看快手的时候，经常吃惊于每个人都有如此快乐、自然、幽默的时刻，虽然平时我们在街上擦肩而过，两个人脸上可能都挺冷漠，但是看到这些视频，你会相信每个人都有鲜活的一面。我不知道还有没有团队在做同样的事情，说真的，只要找到一个方向，在快手上就能找到海量的资源素材。用更专业的编辑和剪辑手法整合这些素材（当然要征得拍摄者同意），然后做成更厉害的长片——我还挺希望能看到更多这样的片子的。 片子里有无数打动人的瞬间，我看了几遍，发现最打动我的是无数个普通人在逆境中的坚强，这种坚强往往是以让自己快乐，让自己高兴，让自己显得无所畏惧的方式展现出来的。一方面，一些影像如此真实而震撼——对呀，我知道武汉封城了，但什么是封城？封城是什么样子的？其实我没有直观感受。直到我看到空空荡荡的街道，看到被路障挡住的路口，我才第一次如此真实地在感受上和拍摄者共鸣。 而另一方面，几乎所有的拍摄者又显得那样乐观。对我来说，这个视频的另一个价值就是展现了无数真实的个体面对考验时展示出的勇气，因为真实，它显得丝毫不虚伪，因此而充满力量。我们都知道 “英勇的武汉人民没有被击倒” 这句话，但他们是如何面对的？至少在这个视频里，我知道了，很多人用若无其事和幽默面对。他们也抱怨，也累，但从未丧气。喃喃自语的画外音里有感慨，也有担忧，可没有人显得崩溃。多伟大啊。 所以再推荐一下这部片子吧。对于我来说，当然，它很让人振奋，但我最喜欢的是它关注和展现了每一个具体的、有趣的、有时候快乐有时候伤心，在困境中也不忘鼓励自己和自己找乐儿的人。清影Tsingying的微博视频                                 ,无,无,无,2020/4/3 22:29,社会 · 视频社区,1213,1473,105
IBDB7FPG1,简单说一下今天下午试图精细化大头菜交易的感想。我用了最糙的办法，给每个人单独发密码排开时段。争取同一时间只有一个人在岛上——不是我保守，这技术的任天堂，岛上有3-4个人，就啥都别干了。当然这么做也有风险，比如说我不会每来一个人就换一次密码，所以如果有人把密码传播出去，就要重新设置密码了——但吃惊吧？没有！一开始我是按每10分钟一个人排列的，排了4个之后自己就乱了，只能挣扎到电脑边（对，今天我不舒服本来准备下午休息一下）打开EXCEL做表——之后我发现10分钟的时间可能是比较宽裕，所以每个人的时间调整到5分钟。这样会出现偶尔两个人重合的情况，但总体效率还是比较高的。我会看谁希望上岛卖菜。如果有人给我发私信，我就看看目前的空闲时间段是何时，然后私信告诉他时间，看对方是否接受。对方一般都会接受，我就记录在EXCEL表里。最开始是到那个时间我就给他发一条私信说明密码，但是说了十几次之后我修正了一下，我在一个时间段统一给20个人发时间和密码，一个一个顺序排下去——这样其实对朋友们要求更高，大家需要非常准时地在约定时间登岛，不能过早也不能过晚，这玩意儿就跟列车表一样，一个错了，整个就要错。我虽然留出了10分钟用于调整，但我也不想出现这种问题。很吃惊吧？几乎没人不守时！当然其中出了一点问题。技术的任天堂正好在2点-3点之间服务器维护，还给游戏升了一次级。这直接干掉了我大概90分钟的计划，我一顿调整……还有很多人不知道游戏升级了，现场升级——就5分钟，过去就没了，只能往后排。我岛上有个迎宾设施，我以前也写过。我就坐在轮椅上迎宾。来卖大头菜的朋友们会完全凭借自愿放下礼物——所以现在我面前就是这样的。非常棒！没有人拿走别人的东西！我不想为这件事赋予什么过高的意义，但是我觉得，今天下午这个制度至少让来卖菜的大家都很开心。呃，我也还行吧，虽然一个下午搭出去了，但我会写一篇东西，里面有一些更好玩的细节！             [组图共2张]      原图                             ,"http://ww4.sinaimg.cn/large/5dc2cac9ly1gdgsgfnrpgj23402c01kx.jpg,http://ww3.sinaimg.cn/large/5dc2cac9ly1gdgsgzlijwj213u0tu7ul.jpg",无,无,2020/4/3 19:10,微博 weibo.com,1409,465,136
IBBAZypKb,而我像一个真正的老教父一样，面前堆满了远道而来的朋友们送上的礼物。  原图 ,http://wx3.sinaimg.cn/large/5dc2cac9ly1gdgjlfju7bj20w00h4wt1.jpg,无,无,2020/4/3 14:04,无,344,12,46
IBBxYfrnu,这本应是个休闲游戏......顺便说，所有得到通知的朋友，因技术的任天堂14:00维护服务器，因此时间顺延1小时。  原图 ,http://wx3.sinaimg.cn/large/5dc2cac9ly1gdgjd93rcqj20zk0k0gys.jpg,无,无,2020/4/3 13:56,无,106,0,12
IBB53ufPz,赫然发现我今天的大头菜收购价是512元...本着人人为我我为人人的原则，也想看看能不能写点什么，决定开放一下试试。规则很简单，每人10分钟。想出售的，给我发私信，我会回复密码。密码将以每10分钟一个人的速度发放。请在出售完之后马上离开。也请务必不要把密码告诉第三人。建议拿到时间后把大头菜都带在身上，妥善利用10分钟。如果我发现岛上人数过多，就会直接关闭机场，重新更换密码。当然也许我没有回复密码，那就请等一等。也许我最后也没回复...那也别怪我...商店在出机场左手约10米处。我不为联机过程中可能出现的所有问题负责...对了，来之前最好检查一下游戏是否更新到最新版本，把大头菜都放在包里。不要等到了时间再突击准备——你节省的每一秒时间都可能挽救一名菜农！1点06更新：已经有3位朋友高效完成交易，平均每人用时6分钟。目前队伍排到了2点30分...1点18分更新：有消息说技术的任天堂14：00开始网络维护……如果真的维护了，那么就顺眼……即，原来定到2点的改到3点，之后顺延。                                 ,无,无,无,2020/4/3 12:45,无,315,29,66
