微博,3
正文,1
这,15
十年,1
是,52
互联网,2
及,5
软件技术,1
快速,5
迭代,1
的,81
：,19
1,10
.,8
 ,99
移动,2
普及,2
，,93
3G,1
4G,1
5G,1
；,16
2,10
抢占,1
平台,2
战略,1
制高点,1
企业,2
胜出,1
3,15
掌控,1
云,1
计算资源,1
成为,4
寡头,1
重要,9
手段,1
4,5
大,8
数据,2
兴起,1
也,30
让,15
Scala,4
冒出,1
了,47
头,1
来,13
5,8
PHP,8
7,6
推出,4
6,6
AI,1
推动,2
Python,4
老,2
树,1
焕发,1
新枝,1
区块,1
链,1
国家,1
8,2
Java,16
里程碑,1
版本,2
9,3
Go,9
风光,1
年代,1
Rust,7
仍,3
在,26
精雕细琢,1
10,4
NET,2
Core,2
开源,2
11,1
ES,1
2015,2
划时代,1
意义,5
TypeScript,3
风卷残云,1
前端,3
框架,5
各自,2
成熟,2
Node,2
地位,1
稳如,1
磐石,1
跨平台,2
开发技术,1
没,11
那么,6
简单,7
但,14
如,5
过江之鲫,1
各家,1
前仆后继,1
总之,4
发展,6
最快,1
技术,15
领域,7
就是,26
沙雕,2
事件,3
基本,2
每年,1
都,31
有,32
12,1
物,1
联网,1
润物细无声,1
绵长,1
之力,1
犹胜,1
一时,2
爆发,1
13,1
电子,1
阅读,1
14,1
网上,3
点,6
外卖,2
吃,4
人够,1
多,18
横冲直撞,1
骑手,1
不少,2
15,3
共享,2
单车,1
时髦,3
后,8
终究,3
还,18
得,19
回归,1
按,2
商业,1
规律,1
办事,1
“,27
新,6
四大发明,1
”,27
感觉,6
喊,1
有点,3
过早,2
你,43
押金,1
现在,10
退,1
吗,9
？,39
16,1
网约车,1
经历,5
风波,1
极端,2
拷问,2
人心,3
17,1
内存,2
数据库,1
18,3
手机,1
市场竞争,1
日益,1
激烈,1
沉沉,1
浮浮,1
中,8
是非成败,1
转头,1
空,2
惯看,1
秋月,1
与,11
春风,1
19,1
C,4
艹,1
卯足,1
劲,1
冲击,1
2020,10
20,2
Swift,2
难成,1
通用,1
语言,5
不,24
做,11
iOS,1
开发,12
的话,2
不如,1
投资,2
Kotlin,10
—,11
一个,23
更好,3
21,1
过去,1
长,1
十岁,1
、,23
还有,7
人,31
生死,1
两,2
茫茫,1
。,86
 ,98
舆论,1
媒体,1
推荐,2
书籍,1
看,11
很,15
大部分,2
没有,11
说,19
那样,2
好,13
反而,1
一些,5
籍,1
籍无名,1
不错,3
里面,2
固然,2
口味,1
原因,5
吹大牛,1
才,10
关键,4
就,34
想,14
知道,5
一下,3
你们,3
项目,2
不用,4
Redis,1
编程,9
时候,10
有没有,2
去,8
考虑,3
细节,2
问题,11
比如,9
日常,1
业务,10
里头,1
用得着,1
技能,5
可能,11
只,5
占,1
这门,1
编程语言,11
20%,1
非常,3
功能,3
特性,2
涉及,3
那,5
认为,3
熟悉,3
了解,4
个,10
大概,6
能,24
帮,2
找到,2
饭碗,1
掌握,4
全面,1
而,23
深入,4
则,7
可以,16
决定,4
价值,6
千万,1
不要,3
以为,2
满足,3
情况,5
下,7
需要,5
拿,1
出手,1
压箱底,1
宝贝,1
《,3
未来,1
简史,1
》,3
里,12
提到,2
灾病,1
对,14
人类,1
影响,4
越来越,5
小,4
太平,1
已,3
久,3
感受,1
不到,3
什么,11
危机,2
疫情,4
突至,1
却,7
世界,5
猛然,1
一惊,1
原来,2
我们,5
脆弱,1
用,14
科技,1
解决问题,3
才能,5
凸显,2
不管,5
哪个,3
医学,1
等,7
文明,1
各个,2
角落,1
不断深入,1
永不,1
止步,1
任何,3
系统,3
一点,6
时间,7
难以,1
保持,2
清晰,5
架构,2
虽然,3
极力,1
避免,2
蔓延,1
边界,1
模糊,1
乃至,1
冲突,2
趋势,2
不变,1
代码,22
冗余,1
粗暴,1
写法,1
肆虐,1
重构,2
只能,4
一天,5
拖,1
直到,1
庞大,1
臃肿,1
不得,2
程序员,20
离职,3
入职,1
交接,1
一茬,1
又,14
其间,1
不同,4
风格,1
交混,1
缝缝补补,1
三年,1
API,2
既有,2
模块,3
谁,8
不敢,1
轻易,1
乱动,1
多少,6
搞,6
懂,4
来龙去脉,1
后续,3
需求,4
以,5
叠加,1
方式,6
增加,1
程度,3
进一步,3
越加,1
交错,1
成,2
四不像,2
轮子,3
造,1
像,7
方形,1
奇怪的是,1
不管怎么,1
捏,1
吧,13
最后,8
关头,1
跑,1
起来,11
文档,2
要么,3
缺失,1
因久,1
未,1
更新,3
驴唇不对马嘴,1
不能,10
三五年,1
该,2
以此,1
为,7
蓝本,1
如何,6
设计,1
良好,2
大规模,1
弹性,1
可,4
扩展,2
课程,1
或,10
图书,2
前,3
几天,1
第一行,1
Android,2
（,13
第,1
版,2
）,13
今天,1
终于,1
做个,2
赠书,1
活动,3
本书,2
出,9
到,13
目前,1
第三版,1
由,3
转到,1
更具,2
生产力,1
Google,1
官方,1
宣布,2
一等,1
支持,4
所以,13
通过,1
一方面,3
学习,11
应用,4
本次,1
联合,1
4.10,1
我,29
发现,9
我用,2
看到,4
很多,13
骂,1
自己,17
发牢骚,1
而用,1
刚才,1
一篇,1
吐槽,1
并,8
将,5
其,4
相,1
比较,7
文章,1
然后,7
紧接着,1
稳定,2
力,2
捧,2
/,11
C#,2
银弹,1
花香,1
每个,2
心中,1
哈姆雷特,1
为什么,5
觉得,17
不是,17
专有,1
人不愿,2
承认,3
用到,2
一定,10
会,15
遇到,3
天花板,2
卖油,1
翁,1
倒油,1
倒,2
再,11
高,7
差不多,2
端,1
成型,1
那么回事,1
只不过,1
各种,10
贩卖,1
吆喝,1
把,10
焦虑,2
感,2
要,22
高深,2
分布,1
吃得下,1
出来,13
为了,2
KPI,1
随便,2
唬,1
一唬,1
王垠,1
一句,2
话,4
挺,1
道理,3
有人,4
编译器,1
牛,4
逼,2
其实,13
铁匠,1
只会,1
打铁,1
打,2
菜刀,1
不会,8
做菜,1
大厨,1
耍,1
丰盛,1
菜肴,1
跟,15
写,19
一样,8
啥,11
工作,1
变,2
天天,5
赶不上,1
心思,2
转念,1
昨天,3
事情,9
太过,2
一成不变,1
心慌慌,1
后端,1
怎么,4
踏实,3
呢,7
创业,2
自负盈亏,1
风险,1
自担,1
充实,3
紧张,1
单一,2
更,10
快触,1
盯,2
着,12
一亩,2
三分,3
地,8
人生,4
唯一,1
追求,7
目标,1
不算,2
多大点,1
事,6
看人,1
发挥,2
作用,1
实现,6
by,9
2gua,10
-,7
29,1
天,1
注定,1
七分,1
靠,2
打拼,1
终其一生,1
艰苦奋斗,1
换,5
半分,1
机会,3
咬,1
金,1
汤匙,1
劳碌,1
半生,1
买,3
套房,2
创,1
CEO,2
事必躬亲,1
根本,1
答案,1
沙滩,1
上,14
死,2
这么,7
环境,5
条件,1
好像,2
这种,7
那种,1
差,1
还是,9
和,14
团队,6
敢,1
依赖,2
口水,1
输赢,1
结果,6
自身,1
加个,1
几个,1
转折点,1
盲人摸象,2
式,4
口水战,1
纷纷扰扰,1
背景,1
技痒,1
加上,1
这是,4
典型,2
坑,2
隔三差五,3
提出,2
困惑,2
试着,1
梳理,1
一番,1
首先,2
函数,4
传参,1
两种,2
传值,1
传入,1
被,8
调,1
实参,1
副本,1
形参,1
操作,1
实,1
参变量,1
传,1
引用,1
地址,1
寻址,1
处理,2
变量,2
hold,1
住,1
一块,1
区域,1
很大,1
此外,1
参数传递,1
遵循,1
极具,1
土味,1
Call,1
Object,1
传递,1
对象,1
叫,5
call,1
object,1
reference,1
或传,1
指向,1
传统,1
思维,4
且,1
听,3
慢慢,1
道,3
一切,3
皆,1
数字,1
列表,1
字典,1
等等,3
其次,1
充其量,1
赋值,1
=,1
名字,1
绑定,1
